game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
144,2,0,0,1.0,fixed,0.5,16,6,0,16,2996,1.321517,0.343778,1.665295,0.118303,0.696056,0.0,0.0,8,1.0,600,1
145,2,0,0,1.0,fixed,0.5,18,8,0,18,3014,1.361269,0.349637,1.710907,0.118303,0.708959,0.0,0.0,8,1.0,600,1
146,1,0,0,1.0,fixed,0.5,23,7,0,23,3037,1.127718,0.279207,1.406926,0.118303,0.693257,0.0,0.0,8,1.0,600,1
147,2,0,0,1.0,fixed,0.5,14,8,0,14,3051,1.365109,0.469756,1.834866,0.118303,0.725495,0.0,0.0,8,1.0,600,1
148,2,0,0,1.0,fixed,0.5,22,6,0,22,3073,1.283394,0.300248,1.583642,0.118303,0.65579,0.0,0.0,8,1.0,600,1
149,2,0,0,1.0,fixed,0.5,10,5,0,10,3083,1.377792,0.433026,1.810818,0.118303,0.574958,0.0,0.0,8,1.0,600,1
150,2,0,0,1.0,fixed,0.5,20,6,0,20,3103,1.376672,0.387795,1.764467,0.118303,0.74374,0.0,0.0,8,1.0,600,1
151,1,0,0,1.0,fixed,0.5,15,8,0,15,3118,1.409072,0.449007,1.85808,0.118303,0.691597,0.0,0.0,8,1.0,600,1
152,2,0,0,1.0,fixed,0.5,22,8,0,22,3140,1.267787,0.403761,1.671548,0.118303,0.733343,0.0,0.0,8,1.0,600,1
153,1,0,0,1.0,fixed,0.5,17,8,0,17,3157,1.379185,0.343328,1.722513,0.118303,0.633998,0.0,0.0,8,1.0,600,1
154,2,0,0,1.0,fixed,0.5,14,8,0,14,3171,1.379653,0.479683,1.859336,0.118303,0.655378,0.0,0.0,8,1.0,600,1
155,1,0,0,1.0,fixed,0.5,13,6,0,13,3184,1.424228,0.34154,1.765767,0.118303,0.635418,0.0,0.0,8,1.0,600,1
156,2,0,0,1.0,fixed,0.5,22,8,0,22,3206,1.44538,0.333602,1.778982,0.118303,0.719684,0.0,0.0,8,1.0,600,1
157,2,0,0,1.0,fixed,0.5,18,8,0,18,3224,1.328387,0.373484,1.701872,0.118303,0.741143,0.0,0.0,8,1.0,600,1
158,2,0,0,1.0,fixed,0.5,14,8,0,14,3238,1.308974,0.378153,1.687127,0.118303,0.624493,0.0,0.0,8,1.0,600,1
159,1,0,0,1.0,fixed,0.5,17,7,0,17,3255,1.246233,0.369754,1.615987,0.118303,0.638122,0.0,0.0,8,1.0,600,1
160,2,0,0,1.0,fixed,0.5,22,8,0,22,3277,1.458887,0.359792,1.818679,0.118303,0.67294,0.0,0.0,8,1.0,600,1
161,1,0,0,1.0,fixed,0.5,19,7,0,19,3296,1.34809,0.397179,1.745269,0.118303,0.709428,0.0,0.0,8,1.0,600,1
162,1,1,1,0.3,fixed,0.5,70,8,0,70,3366,1.34866,0.445739,1.794399,0.118303,0.819723,0.0,0.0,8,1.0,600,1
163,2,0,0,1.0,fixed,0.5,14,6,0,14,3380,1.316213,0.318385,1.634597,0.118303,0.708085,0.0,0.0,8,1.0,600,1
164,2,0,0,1.0,fixed,0.5,28,8,0,28,3408,1.34788,0.389146,1.737026,0.118303,0.703852,0.0,0.0,8,1.0,600,1
